post_title,post_name_en,post_content,post_status,post_type,location,operating_org,project_link,geographic_region,recruitment_cycle,target_audience,latitude,longitude,coordinate_source
בלנדר אראביכ,Blend.Arabic,"קידום לכידות חברתית בחברה הישראלית באמצעות בית ספר ללימוד השפה והתרבות הערבית, תוך יצירת אינטראקציות בין הקבוצות השונות",publish,project,"ירושלים ,אבו גוש ,לוד ויפו        ובכל רחבי הארץ",בלנדר,www.blenarabic.com,ירושלים,מחזור א,צעירים וסטודנטים | יהודים וערבים,31.761695,35.174569,
החממה -  אלדפיאה מנהיגות נשית ויזמות מקומית,The Incubator,יצירת מרחב חיים משותף באמצעות פיתוח מנהיגות נשית מקומית משותפת שמוציאה לפועל יוזמות קהילתיות משותפות,publish,project,ירושלים,פרזטנס,https://www.talpaz.org.il/page.php?type=shluha&id=3625&bc=AC11,ירושלים,מחזור א,יהודים וערבים | אנשי מקצוע ופעילים,31.7784,35.2216,Talpaz Jerusalem office
המרכז לצדק חברתי בעיר חריש,Center for Social Justice,יצירת בית לפעילים חברתיים בחריש המהווה פלטפורמה לפעילות. מקום קהילתי ויוצר תרבות בו אנשים מקהילות שונות חוברים כדי להיטיב יחד בעיר.,publish,project,חריש,תנועת הבוגרים של השומר הצעיר,https://merkazim.org/about/,כרמל,מחזור א,אנשי מקצוע ופעילים,32.4698,35.0435,Harish center
ירושלמית מדוברת,Jerusalem women talk,קהילת נשים ירושלמיות ממערב ומזרח העיר המקדמות היכרות מעמיקה בין האוכלוסיות השונות בעיר באמצעות מרחב נשי וצמצום פערים ואי שיוויון הנובעים מפערי שפה,publish,project,ירושלים,כולנא ירושלים,https://www.facebook.com/YerushalmitMeduberet,ירושלים,מחזור א,נשים | יהודים וערבים,31.7683,35.2137,Jerusalem
הרחבת מאמנט בחברה הערבית ופיתוח מאמנט בחברה הערבית,Mamanet  Four Tribes,פלטפורמה לקהילת אימהות מכלל גווניה של החברה בישראל ליצירת שיח דרך משחק ופעילות ספורטיבית למען עתיד משותף,publish,project,בכל רחבי הארץ,מאמאנט - ליגת אימהות בכדורשת,www.mamanet.org.il,מרכז,מחזור א,נשים | יהודים וערבים,32.0878,34.8877,Petah Tikva Mamanet HQ
מועצת נשים  ארצית של יהודיות וערביות,סגור,,publish,project,,,,מרכז,מחזור א,קהל מגוון,31.7683,35.2137,Jerusalem inferred
מסע חברתי- מפגש של סטודנטים ממגזרים מגוונים למספר ימים חוויתיים בטבע,Social Journey,"מסע שפועל במרחבי הטבע, בדרום ובצפון, כחלק בלתי נפרד מתוכניות לימודים אקדמית במטרה להפגיש קבוצות מנוגדות מהחברה ולהפוך להיות תנועה חברתית משפיעה",publish,project,בכל רחבי הארץ,רוח נכון,https://m.facebook.com/masahevratii,דרום,מחזור א,צעירים וסטודנטים | יהודים וערבים,31.0461,34.8516,Beersheva inferred
מעיין במדבר,Ma'ayan Bamidbar - Desert Spring,יצירת גשרים וחברויות בין סטודנטים ערבים ויהודים תוך חיזוק החיים המשותפים בתוך המוסדות האקדמיים באמצעות לימוד שפה ותרבות,publish,project,פריסה ארצית מתל חי בצפון ועד באר שבע בדרום,עמותת ציוני דרך,https://www.tzioneiderech.com/maayanbamidbar,דרום,מחזור א,צעירים וסטודנטים | יהודים וערבים,30.6102,34.8019,Negev
סטודיו משלך- מרכז לאומנות נשים,Studio of Her Own - Hub for women artists,סטודיו שמהווה בית ומרחב ליצירה לנשים אומניות ויוצרות מכלל גווניה של החברה בישראל לטובת הרחבת הייצוג של אומנות נשים בארץ תוך ביסוס קהילת אומניות המעשירה את השיח,publish,project,ירושלים,סטודיו משלך,https://studioofherown.com/,ירושלים,מחזור א,נשים,31.7823,35.2314,Jerusalem
סיור נרטיבים ביפו - בית סיסטם עאלי,Show Tours in Jaffa,קידום ושינוי חברתי-תרבותי-פוליטי על ידי שימוש בכלים מעולם האומנות והתרבות באמצעות סיורים והופעות בעיר יפו,publish,project,יפו,בית סיסטם עאלי,www.Beitsystemali.com,מרכז,מחזור א,אנשי מקצוע ופעילים,32.0504,34.7522,Jaffa
